"Timepoint","Estimate (Control-Heat)","SE","t-ratio","p-value","Significant?"
0,NA,NA,NA,NA,""
0,NA,NA,NA,NA,""
0,NA,NA,NA,NA,""
0,NA,NA,NA,NA,""
0,NA,NA,NA,NA,""
0,-0.0082,0.0334,-0.25,0.817,""
20250611,NA,NA,NA,NA,""
20250611,NA,NA,NA,NA,""
20250611,NA,NA,NA,NA,""
20250611,NA,NA,NA,NA,""
20250611,NA,NA,NA,NA,""
20250611,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250613,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250616,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250618,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250623,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
20250624,NA,NA,NA,NA,""
